market,model_family,latest_week_start,recent_spend,recent_sessions,recent_dcfs,recent_cpl_dcfs,recent_visit_to_lead_rate,dcfs_trend_vs_previous_4w,spend_trend_vs_previous_4w,performance_bucket,performance_direction,performance_reason,activity_top_signal,activity_scale_weeks,activity_fix_weeks,activity_watch_weeks,activity_protect_weeks,harvest_weeks,gap_fill_weeks,validate_weeks,activity_reason_sample,final_budget_action,final_reason
PIB POR,Macan,2025-12-29,8503.67,10097.0,10.0,850.37,0.001,0.1111,0.6581,Scale,Increase budget,PIB POR / Macan: recent spend is producing dealer contact forms efficiently and response is stable.,CTG filling local gap,18,1,0,0,0,18,0,"PIB POR / Macan BEV in week 2026-02-16: local activity is live (Programmatic, Search, Social) but CTG has no matching support in the timeline.",Increase,"Increase PIB POR / Macan: observed performance is strong enough to support more pressure, and the activity layer shows ctg filling local gap."
PIT,Macan,2025-12-29,29368.53,25598.0,38.0,772.86,0.0015,-0.3448,0.1568,Scale,Increase budget,PIT / Macan: recent spend is producing dealer contact forms efficiently and response is falling.,Harvest local upper-funnel demand,18,29,0,0,18,0,0,"PIT / Macan BEV in week 2026-02-09: local activity is live (Programmatic, Social) but CTG has no matching support in the timeline.",Increase,"Increase PIT / Macan: observed performance is strong enough to support more pressure, and the activity layer shows harvest local upper-funnel demand."
TRK,Macan,2025-12-29,40047.8,105100.0,88.0,455.09,0.0008,0.6,2.1778,Scale,Increase budget,TRK / Macan: recent spend is producing dealer contact forms efficiently and response is growing.,Harvest local upper-funnel demand,18,5,0,0,9,9,0,"TRK / Macan BEV in week 2026-04-27: CTG is active (Google Ads, META Inventory Ads) where no confirmed local activity is planned.",Increase,"Increase TRK / Macan: observed performance is strong enough to support more pressure, and the activity layer shows harvest local upper-funnel demand."
CZ,Macan,2025-12-29,961.17,2192.0,1.0,961.17,0.0005,0.0,-0.8153,Watch,Keep small test budget,"CZ / Macan: recent evidence is limited, so keep this on watch rather than making a large move.",No market activity signal,0,0,0,0,0,0,0,,Protect,"Protect CZ / Macan: keep budget stable because performance or activity context supports presence, but not a large increase."
PCNA,Cayenne,2025-12-29,224264.46,58844.0,235.0,954.32,0.004,0.7029,0.5882,Scale,Increase budget,PCNA / Cayenne: recent spend is producing dealer contact forms efficiently and response is growing.,Potential CTG whitespace,0,106,0,0,0,0,0,"PCNA / Cayenne E3 II in week 2025-12-29: local activity is live (Programmatic, Search, Social) but CTG has no matching support in the timeline.",Protect,"Protect PCNA / Cayenne: keep budget stable because performance or activity context supports presence, but not a large increase."
PBR,Cayenne,,,,,,,,,Watch,Keep small test budget,,Potential CTG whitespace,0,51,0,0,0,0,0,"PBR / Cayenne E3 II in week 2026-01-12: local activity is live (Other Online Channel, Retail Marketplace, Search, Social) but CTG has no matching support in the timeline.",Test,"Test PBR / Cayenne: local activity is visible but CTG has whitespace, so use a controlled test rather than a large shift."
PBR,Macan,,,,,,,,,Watch,Keep small test budget,,Potential CTG whitespace,0,8,0,0,0,0,0,"PBR / Macan BEV in week 2026-11-02: local activity is live (Search, Social) but CTG has no matching support in the timeline.",Test,"Test PBR / Macan: local activity is visible but CTG has whitespace, so use a controlled test rather than a large shift."
PCH,Cayenne,,,,,,,,,Watch,Keep small test budget,,Harvest local upper-funnel demand,5,35,0,13,5,0,0,PCH / Cayenne E4 in week 2025-12-29: local activity is live (Search) but CTG has no matching support in the timeline.,Test,"Test PCH / Cayenne: local activity is visible but CTG has whitespace, so use a controlled test rather than a large shift."
PCNA,Macan,,,,,,,,,Watch,Keep small test budget,,Potential CTG whitespace,0,53,0,0,0,0,0,"PCNA / Macan BEV in week 2025-12-29: local activity is live (Programmatic, Search, Social) but CTG has no matching support in the timeline.",Test,"Test PCNA / Macan: local activity is visible but CTG has whitespace, so use a controlled test rather than a large shift."
PIB POR,Cayenne,,,,,,,,,Watch,Keep small test budget,,Harvest local upper-funnel demand,18,0,0,0,9,9,0,PIB POR / Cayenne E4 in week 2026-04-27: CTG is active (Google Ads) where no confirmed local activity is planned.,Test,"Test PIB POR / Cayenne: local activity is visible but CTG has whitespace, so use a controlled test rather than a large shift."
PKO,Macan,,,,,,,,,Watch,Keep small test budget,,Harvest local upper-funnel demand,18,0,0,0,7,11,0,"PKO / Macan BEV in week 2026-04-27: CTG is active (Google Ads, Google Inventory Ads, META Inventory Ads) where no confirmed local activity is planned.",Test,"Test PKO / Macan: local activity is visible but CTG has whitespace, so use a controlled test rather than a large shift."
PNO,Cayenne,,,,,,,,,Watch,Keep small test budget,,CTG filling local gap,18,4,0,0,0,18,0,"PNO / Cayenne E4 in week 2025-12-29: local activity is live (Programmatic, Search, Social) but CTG has no matching support in the timeline.",Test,"Test PNO / Cayenne: local activity is visible but CTG has whitespace, so use a controlled test rather than a large shift."
POF,Cayenne,,,,,,,,,Watch,Keep small test budget,,Harvest local upper-funnel demand,36,70,0,0,36,0,0,"POF / Cayenne E3 II in week 2025-12-29: local activity is live (Search, Social) but CTG has no matching support in the timeline.",Test,"Test POF / Cayenne: local activity is visible but CTG has whitespace, so use a controlled test rather than a large shift."
PPL,Macan,,,,,,,,,Watch,Keep small test budget,,CTG filling local gap,18,0,0,0,0,18,0,"PPL / Macan BEV in week 2026-04-27: CTG is active (Google Ads, META Inventory Ads) where no confirmed local activity is planned.",Test,"Test PPL / Macan: local activity is visible but CTG has whitespace, so use a controlled test rather than a large shift."
TRK,Cayenne,,,,,,,,,Watch,Keep small test budget,,Harvest local upper-funnel demand,36,14,0,0,18,18,0,TRK / Cayenne E4 in week 2026-02-23: local activity is live (Programmatic) but CTG has no matching support in the timeline.,Test,"Test TRK / Cayenne: local activity is visible but CTG has whitespace, so use a controlled test rather than a large shift."
PCA,Cayenne,2025-12-29,74506.86,90970.0,28.0,2660.96,0.0003,0.5556,0.6076,Fix,Review setup before scaling,"PCA / Cayenne: there is some demand signal, but conversion or efficiency is not strong enough to scale yet.",CTG filling local gap,36,8,0,0,0,36,0,PCA / Cayenne E3 II in week 2026-02-23: local activity is live (Programmatic) but CTG has no matching support in the timeline.,Fix,"Fix PCA / Cayenne: there is some opportunity, but performance needs channel, creative, or conversion work before scaling."
PCA,Macan,2025-12-29,52118.25,59906.0,8.0,6514.78,0.0001,-0.4667,0.2882,Reduce,Reduce flexible budget,"PCA / Macan: recent spend is not translating into enough dealer contact forms, so flexible budget should be challenged.",Harvest local upper-funnel demand,18,1,0,0,6,12,0,PCA / Macan BEV in week 2026-04-20: local activity is live (Programmatic) but CTG has no matching support in the timeline.,Fix,"Fix PCA / Macan: there is some opportunity, but performance needs channel, creative, or conversion work before scaling."
PCGB,Macan,2025-12-29,31984.16,20771.0,19.0,1683.38,0.0009,-0.6415,-0.5158,Fix,Review setup before scaling,"PCGB / Macan: there is some demand signal, but conversion or efficiency is not strong enough to scale yet.",CTG filling local gap,18,0,0,0,0,18,0,"PCGB / Macan BEV in week 2026-04-27: CTG is active (Google Ads, Google Inventory Ads, META Inventory Ads) where no confirmed local activity is planned.",Fix,"Fix PCGB / Macan: there is some opportunity, but performance needs channel, creative, or conversion work before scaling."
PCL,Cayenne,2025-12-29,40648.06,56488.0,22.0,1847.64,0.0004,0.6923,0.3211,Fix,Review setup before scaling,"PCL / Cayenne: there is some demand signal, but conversion or efficiency is not strong enough to scale yet.",Harvest local upper-funnel demand,36,17,0,0,19,17,0,"PCL / Cayenne E4 in week 2026-03-09: local activity is live (CTV, DOOH, Other Online Channel, Programmatic, Search, Social) but CTG has no matching support in the timeline.",Fix,"Fix PCL / Cayenne: there is some opportunity, but performance needs channel, creative, or conversion work before scaling."
PCL,Macan,2025-12-29,33062.62,18931.0,5.0,6612.52,0.0003,-0.375,-0.2994,Fix,Review setup before scaling,"PCL / Macan: there is some demand signal, but conversion or efficiency is not strong enough to scale yet.",Harvest local upper-funnel demand,18,2,0,0,14,4,0,"PCL / Macan BEV in week 2026-04-13: local activity is live (Programmatic, Search, Social) but CTG has no matching support in the timeline.",Fix,"Fix PCL / Macan: there is some opportunity, but performance needs channel, creative, or conversion work before scaling."
PD,Cayenne,2025-12-29,81903.6,58609.0,57.0,1436.91,0.001,0.0755,-0.0923,Fix,Review setup before scaling,"PD / Cayenne: there is some demand signal, but conversion or efficiency is not strong enough to scale yet.",Harvest local upper-funnel demand,28,70,0,8,28,0,0,PD / Cayenne E3 II in week 2025-12-29: local activity is live (Search) but CTG has no matching support in the timeline.,Fix,"Fix PD / Cayenne: there is some opportunity, but performance needs channel, creative, or conversion work before scaling."
PD,Macan,2025-12-29,73471.22,33028.0,24.0,3061.3,0.0007,-0.4146,-0.1136,Fix,Review setup before scaling,"PD / Macan: there is some demand signal, but conversion or efficiency is not strong enough to scale yet.",Harvest local upper-funnel demand,18,35,0,0,18,0,0,PD / Macan BEV in week 2025-12-29: local activity is live (Search) but CTG has no matching support in the timeline.,Fix,"Fix PD / Macan: there is some opportunity, but performance needs channel, creative, or conversion work before scaling."
PIB SPA,Cayenne,2025-12-29,51921.52,50047.0,12.0,4326.79,0.0002,-0.0769,0.2627,Reduce,Reduce flexible budget,"PIB SPA / Cayenne: recent spend is not translating into enough dealer contact forms, so flexible budget should be challenged.",Harvest local upper-funnel demand,15,88,0,3,15,0,0,PIB SPA / Cayenne E3 II in week 2025-12-29: local activity is live (Search) but CTG has no matching support in the timeline.,Fix,"Fix PIB SPA / Cayenne: there is some opportunity, but performance needs channel, creative, or conversion work before scaling."
PIB SPA,Macan,2025-12-29,49805.91,33413.0,16.0,3112.87,0.0005,0.7778,0.369,Fix,Review setup before scaling,"PIB SPA / Macan: there is some demand signal, but conversion or efficiency is not strong enough to scale yet.",Harvest local upper-funnel demand,2,35,0,16,2,0,0,PIB SPA / Macan BEV in week 2025-12-29: local activity is live (Search) but CTG has no matching support in the timeline.,Fix,"Fix PIB SPA / Macan: there is some opportunity, but performance needs channel, creative, or conversion work before scaling."
PIT,Cayenne,2025-12-29,40001.57,42649.0,18.0,2222.31,0.0004,-0.25,0.4262,Reduce,Reduce flexible budget,"PIT / Cayenne: recent spend is not translating into enough dealer contact forms, so flexible budget should be challenged.",Harvest local upper-funnel demand,36,29,0,0,18,18,0,"PIT / Cayenne E4 in week 2026-02-09: local activity is live (Programmatic, Social) but CTG has no matching support in the timeline.",Fix,"Fix PIT / Cayenne: there is some opportunity, but performance needs channel, creative, or conversion work before scaling."
