market,model,activity_name,start_date,end_date,channels,channel_role,budget_raw,budget_amount,budget_currency,budget_quality,kpi_raw,data_quality,confidence_score,confidence_level
PCA,Cayenne E3 II,20196850_20196850_POR_CAY_SUV_AUS_T2_NU_AUD_2026-03-01_2026-04-16_LOCAL-CAYENNEBLACKEDITIONH12026-CAYENNEBLACKEDITIONH12026,2026-03-01,2026-04-16,Programmatic,upper_funnel,141841,141841.0,,parsed,"Impressions,Cost per Million (CPM)",complete,100,High
PCA,Macan BEV,20253810_20253810_POR_MAC_SUV_AUS_T1_NU_AUD_2026-04-26_2026-06-07_LOCAL-MACANGTSH12026-MACANGTSH12026,2026-04-26,2026-06-07,Programmatic,upper_funnel,27341,27341.0,,parsed,"Impressions,Cost per Million (CPM)",complete,100,High
PIB SPA,Cayenne E3 II,Black Edition Campaign (March-August),2026-03-12,2026-08-08,"Branded Content, CTV, Cinemas, Other Online Channel, Programmatic, Search, Social, YouTube",full_funnel,200K,200000.0,,parsed,"Impressions,Cost per Million (CPM),Click Through Rate (CTR),Model page visit,Others, Lead & incoming orders generation",complete,100,High
PIB SPA,Cayenne E3 II,Always On SEM (Jan-Dec),2025-12-31,2026-12-30,Search,lower_funnel,50K,50000.0,,parsed,"Impressions,Click Through Rate (CTR),Model page visit",complete,100,High
PIB SPA,Cayenne E4,Cayenne Electric Launch Campaign (March - August),2026-03-15,2026-08-08,"CTV, Other Online Channel, Programmatic, Search, Social, YouTube",full_funnel,150K,150000.0,,parsed,"Impressions,Cost per Million (CPM),Click Through Rate (CTR),Model page visit,Others, Lead conversion & order income",complete,100,High
PIB SPA,Cayenne E4,Cayenne Coupé TVC (May),2026-05-02,2026-06-02,"CTV, Other Online Channel",upper_funnel,140K,140000.0,,parsed,"Impressions,Model page visit",complete,100,High
PIB SPA,Cayenne E4,Always On SEM (Jan-Dec),2025-12-31,2026-12-30,Search,lower_funnel,50K,50000.0,,parsed,"Impressions,Model page visit",complete,100,High
PIB SPA,Macan BEV,Macan 4 Spirit Pack (Feb - May),2026-02-11,2026-05-09,"Brand Days, Other Online Channel, Programmatic, Social",upper_funnel,225K,225000.0,,parsed,"Impressions,Cost per Million (CPM),Click Through Rate (CTR),Model page visit,Others, Lead generation & order income",complete,100,High
PIB SPA,Macan BEV,Macan with Equipment Pack (September - October),2026-09-14,2026-11-14,Social,upper_funnel,15K (we will have DOOH as well with a big part of the investment),15000.0,,parsed,"Impressions,Cost per Million (CPM),Click Through Rate (CTR),Model page visit,Others, Lead generation and order income",complete,100,High
PIB SPA,Macan BEV,Always On SEM (Jan-Dec),2025-12-31,2026-12-30,Search,lower_funnel,50K,50000.0,,parsed,"Impressions,Cost per Million (CPM),Click Through Rate (CTR),Model page visit",complete,100,High
